k,new_prime,primorial,open_gap_count,uncovered_measure_fraction,uncovered_measure,residue_count,residues,first_open_gap_boundary_endpoint_sample
4,7,210,1,1/28,0.03571428571428571,2,99 111,3/14-1/4 3/4-11/14
4,7,210,1,1/21,0.047619047619047616,2,9 201,1/6-3/14 11/14-5/6
4,7,210,1,1/20,0.05,12,28 32 58 62 88 92 118 122 148 152 178 182,1/4-3/10 7/10-3/4
4,7,210,1,2/35,0.05714285714285714,2,4 206,3/10-5/14 9/14-7/10
4,7,210,1,1/12,0.08333333333333333,10,21 39 51 69 81 129 141 159 171 189,1/6-1/4 3/4-5/6
4,7,210,1,3/28,0.10714285714285714,6,38 46 80 130 164 172,1/4-5/14 9/14-3/4
4,7,210,1,1/7,0.14285714285714285,8,40 44 82 86 124 128 166 170,1/2-9/14 5/14-1/2
4,7,210,1,3/20,0.15,2,85 125,1/10-1/4 3/4-9/10
4,7,210,1,6/35,0.17142857142857143,2,41 169,13/14-1/10 9/10-1/14
4,7,210,1,1/5,0.2,10,26 34 56 64 94 116 146 154 176 184,1/2-7/10 3/10-1/2
4,7,210,1,5/21,0.23809523809523808,2,71 139,13/14-1/6 5/6-1/14
4,7,210,1,1/4,0.25,32,8 10 14 16 20 22 50 52 68 70 72 74 76 98 100 104 106 110 112 134 136 138 140 142 158 160 188 190 194 196 200 202,1/2-3/4 1/4-1/2
4,7,210,1,4/15,0.26666666666666666,8,11 19 79 101 109 131 191 199,5/6-1/10 9/10-1/6
4,7,210,1,11/35,0.3142857142857143,2,61 149,11/14-1/10 9/10-3/14
4,7,210,1,9/28,0.32142857142857145,6,1 43 83 127 167 209,13/14-1/4 3/4-1/14
4,7,210,1,12/35,0.34285714285714286,2,96 114,3/10-9/14 5/14-7/10
4,7,210,1,7/20,0.35,6,31 59 89 121 151 179,3/4-1/10 9/10-1/4
4,7,210,1,8/21,0.38095238095238093,4,23 103 107 187,11/14-1/6 5/6-3/14
4,7,210,1,11/28,0.39285714285714285,4,30 54 156 180,1/4-9/14 5/14-3/4
4,7,210,1,5/12,0.4166666666666667,12,17 37 47 53 67 73 137 143 157 163 173 193,3/4-1/6 5/6-1/4
4,7,210,1,9/20,0.45,6,6 36 84 126 174 204,1/4-7/10 3/10-3/4
4,7,210,1,1/2,0.5,3,0 90 120,1/4-3/4
4,7,210,2,43/420,0.10238095238095238,2,55 155,1/10-1/6 3/14-1/4
4,7,210,2,5/42,0.11904761904761904,6,15 27 57 153 183 195,1/6-1/4 3/14-1/4
4,7,210,2,13/105,0.12380952380952381,2,49 161,1/14-1/10 1/14-1/6
4,7,210,2,11/84,0.13095238095238096,6,33 75 93 117 135 177,1/6-1/4 1/6-3/14
4,7,210,2,11/70,0.15714285714285714,2,102 108,1/4-3/10 1/4-5/14
4,7,210,2,1/6,0.16666666666666666,9,3 45 63 87 105 123 147 165 207,1/6-1/4
4,7,210,2,19/105,0.18095238095238095,2,65 145,1/10-1/6 1/10-3/14
4,7,210,2,27/140,0.19285714285714287,2,12 198,1/4-3/10 5/14-1/2
4,7,210,2,29/140,0.20714285714285716,4,29 91 119 181,1/14-1/10 1/14-1/4 3/14-1/4 3/4-11/14
4,7,210,2,13/60,0.21666666666666667,8,5 25 35 95 115 175 185 205,1/10-1/4 1/10-1/6
4,7,210,2,23/84,0.27380952380952384,8,7 13 77 97 113 133 197 203,1/14-1/4 1/14-1/6 3/14-1/4 3/4-11/14
4,7,210,2,3/10,0.3,8,18 42 48 78 132 162 168 192,1/4-1/2 1/4-3/10
4,7,210,2,43/140,0.30714285714285716,4,24 66 144 186,1/4-1/2 1/4-5/14 3/10-1/2 3/10-5/14
4,7,210,2,5/14,0.35714285714285715,2,60 150,1/4-1/2 1/4-5/14
