k,primorial,near_miss_rank,residue,reflection_residue,lambda_fraction,lambda_minus_half_fraction,next_k,new_prime,birth_lift_count,birth_lift_residues,birth_lift_remainders,child_lambda_fractions,child_statuses,birth_types
4,210,1,99,111,5/9,1/18,5,11,0,,,,,
4,210,2,111,99,5/9,1/18,5,11,0,,,,,
4,210,3,28,182,4/7,1/14,5,11,1,448,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,4,32,178,4/7,1/14,5,11,1,872,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,5,58,152,4/7,1/14,5,11,1,1108,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,6,62,148,4/7,1/14,5,11,1,1532,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,7,88,122,4/7,1/14,5,11,1,1768,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,8,92,118,4/7,1/14,5,11,1,2192,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,9,118,92,4/7,1/14,5,11,1,118,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,10,122,88,4/7,1/14,5,11,1,542,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,11,148,62,4/7,1/14,5,11,1,778,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,12,152,58,4/7,1/14,5,11,1,1202,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,13,178,32,4/7,1/14,5,11,1,1438,8,1/2,endpoint_covered,strict_single_gap_birth
4,210,14,182,28,4/7,1/14,5,11,1,1862,3,1/2,endpoint_covered,strict_single_gap_birth
4,210,15,3,207,3/5,1/10,5,11,0,,,,,
4,210,16,9,201,3/5,1/10,5,11,1,849,2,4/9,robust_covered,strict_single_gap_birth
4,210,17,15,195,3/5,1/10,5,11,0,,,,,
4,210,18,21,189,3/5,1/10,5,11,0,,,,,
4,210,19,27,183,3/5,1/10,5,11,0,,,,,
4,210,20,33,177,3/5,1/10,5,11,0,,,,,
5,2310,1,141,2169,7/13,1/26,6,13,1,23241,10,7/15,robust_covered,strict_single_gap_birth
5,2310,2,189,2121,7/13,1/26,6,13,1,2499,3,7/15,robust_covered,strict_single_gap_birth
5,2310,3,471,1839,7/13,1/26,6,13,1,18951,10,7/15,robust_covered,strict_single_gap_birth
5,2310,4,519,1791,7/13,1/26,6,13,1,28239,3,7/15,robust_covered,strict_single_gap_birth
5,2310,5,801,1509,7/13,1/26,6,13,1,14661,10,7/15,robust_covered,strict_single_gap_birth
5,2310,6,1131,1179,7/13,1/26,6,13,1,10371,10,7/15,robust_covered,strict_single_gap_birth
5,2310,7,1179,1131,7/13,1/26,6,13,1,19659,3,7/15,robust_covered,strict_single_gap_birth
5,2310,8,1509,801,7/13,1/26,6,13,1,15369,3,7/15,robust_covered,strict_single_gap_birth
5,2310,9,1791,519,7/13,1/26,6,13,1,1791,10,7/15,robust_covered,strict_single_gap_birth
5,2310,10,1839,471,7/13,1/26,6,13,1,11079,3,7/15,robust_covered,strict_single_gap_birth
5,2310,11,2121,189,7/13,1/26,6,13,1,27531,10,7/15,robust_covered,strict_single_gap_birth
5,2310,12,2169,141,7/13,1/26,6,13,1,6789,3,7/15,robust_covered,strict_single_gap_birth
5,2310,13,99,2211,5/9,1/18,6,13,1,25509,3,7/15,robust_covered,strict_single_gap_birth
5,2310,14,111,2199,5/9,1/18,6,13,1,20901,10,7/15,robust_covered,strict_single_gap_birth
5,2310,15,309,2001,5/9,1/18,6,13,1,11859,3,7/15,robust_covered,strict_single_gap_birth
5,2310,16,321,1989,5/9,1/18,6,13,1,7251,10,7/15,robust_covered,strict_single_gap_birth
5,2310,17,531,1779,5/9,1/18,6,13,1,23631,10,7/15,robust_covered,strict_single_gap_birth
5,2310,18,603,1707,5/9,1/18,6,13,0,,,,,
5,2310,19,729,1581,5/9,1/18,6,13,1,14589,3,3/7,robust_covered,strict_single_gap_birth
5,2310,20,741,1569,5/9,1/18,6,13,1,9981,10,7/15,robust_covered,strict_single_gap_birth
