layer_k,model,residue,occurrence_probability,residual_width,model_weight,normalized_expected_count,observed_birth_lineage_count,observed_over_expected
2,uniform,0,1/6,1/2,1/6,385/3,0,0
2,uniform,1,1/6,5/12,1/6,385/3,4,12/385
2,uniform,2,1/6,1/4,1/6,385/3,103,309/385
2,uniform,3,1/6,1/6,1/6,385/3,556,1668/385
2,uniform,4,1/6,1/4,1/6,385/3,103,309/385
2,uniform,5,1/6,5/12,1/6,385/3,4,12/385
2,residual_width,0,1/6,1/2,1/12,385/2,0,0
2,residual_width,1,1/6,5/12,5/72,1925/12,4,48/1925
2,residual_width,2,1/6,1/4,1/24,385/4,103,412/385
2,residual_width,3,1/6,1/6,1/36,385/6,556,3336/385
2,residual_width,4,1/6,1/4,1/24,385/4,103,412/385
2,residual_width,5,1/6,5/12,5/72,1925/12,4,48/1925
2,covered_width,0,1/6,1/2,1/12,385/4,0,0
2,covered_width,1,1/6,5/12,7/72,2695/24,4,96/2695
2,covered_width,2,1/6,1/4,1/8,1155/8,103,824/1155
2,covered_width,3,1/6,1/6,5/36,1925/12,556,6672/1925
2,covered_width,4,1/6,1/4,1/8,1155/8,103,824/1155
2,covered_width,5,1/6,5/12,7/72,2695/24,4,96/2695
2,inverse_width,0,1/6,1/2,1/3,1925/26,0,0
2,inverse_width,1,1/6,5/12,2/5,1155/13,4,52/1155
2,inverse_width,2,1/6,1/4,2/3,1925/13,103,1339/1925
2,inverse_width,3,1/6,1/6,1,5775/26,556,14456/5775
2,inverse_width,4,1/6,1/4,2/3,1925/13,103,1339/1925
2,inverse_width,5,1/6,5/12,2/5,1155/13,4,52/1155
