birth_k,new_prime,new_prime_remainder,center_fraction,center_degrees,birth_count,reflected_remainder,reflected_birth_count,reflection_pair_count
5,11,2,2/11,720/11,1,9,1,2
5,11,3,3/11,1080/11,6,8,6,12
5,11,8,8/11,2880/11,6,3,6,12
5,11,9,9/11,3240/11,1,2,1,2
6,13,3,3/13,1080/13,16,10,16,32
6,13,4,4/13,1440/13,1,9,1,2
6,13,5,5/13,1800/13,4,8,4,8
6,13,8,8/13,2880/13,4,5,4,8
6,13,9,9/13,3240/13,1,4,1,2
6,13,10,10/13,3600/13,16,3,16,32
7,17,1,1/17,360/17,1,16,1,2
7,17,2,2/17,720/17,2,15,2,4
7,17,3,3/17,1080/17,63,14,63,126
7,17,4,4/17,1440/17,199,13,199,398
7,17,5,5/17,1800/17,75,12,75,150
7,17,6,6/17,2160/17,13,11,13,26
7,17,7,7/17,2520/17,4,10,4,8
7,17,10,10/17,3600/17,4,7,4,8
7,17,11,11/17,3960/17,13,6,13,26
7,17,12,12/17,4320/17,75,5,75,150
7,17,13,13/17,4680/17,199,4,199,398
7,17,14,14/17,5040/17,63,3,63,126
7,17,15,15/17,5400/17,2,2,2,4
7,17,16,16/17,5760/17,1,1,1,2
