parent_residue,child_residue,lift_remainder,selection_groups,phase_margin,aperture_tension,parent_uncovered_exact,child_covered_exact,child_projects_to_parent,parent_gap_count_exact,child_gap_count_exact,exact_b8_birth,audit_status
330040,7987690,14,aperture_frontier_top_400;hash_control_200;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
128319,4212399,4,aperture_frontier_top_400;orbit_diversity_400,7/323,-7/323,True,True,True,1,0,True,pass
41620,9230800,11,aperture_frontier_top_400;orbit_diversity_400,3/209,-3/209,True,True,True,1,0,True,pass
12268,9201448,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
29462,3603032,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
82468,6719098,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
95728,5711338,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
101968,101968,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
111362,8790032,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
118772,8797442,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
144182,2696732,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
150752,661262,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
152702,6789332,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
168268,4762858,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
183902,7841552,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
217408,7875058,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
232708,743218,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
434638,9623818,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
493532,1514552,5,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
510148,2041678,14,aperture_frontier_top_400;orbit_diversity_400,1/76,-1/76,True,True,True,1,0,True,pass
133346,8812016,6,aperture_frontier_top_400;orbit_diversity_400,1/95,-1/95,True,True,True,1,0,True,pass
66261,6192381,15,aperture_frontier_top_400;orbit_diversity_400,2/209,-2/209,True,True,True,1,0,True,pass
121701,5226801,15,aperture_frontier_top_400;orbit_diversity_400,2/209,-2/209,True,True,True,1,0,True,pass
275619,786129,4,aperture_frontier_top_400;orbit_diversity_400,2/209,-2/209,True,True,True,1,0,True,pass
333231,6969861,15,aperture_frontier_top_400;orbit_diversity_400,2/209,-2/209,True,True,True,1,0,True,pass
72009,7219149,4,aperture_frontier_top_400;orbit_diversity_400,2/247,-2/247,True,True,True,1,0,True,pass
486969,7634109,4,aperture_frontier_top_400;orbit_diversity_400,2/247,-2/247,True,True,True,1,0,True,pass
370778,2412818,8,aperture_frontier_top_400;orbit_diversity_400,2/323,-2/323,True,True,True,1,0,True,pass
90926,2132966,7,aperture_frontier_top_400;orbit_diversity_400,1/247,-1/247,True,True,True,1,0,True,pass
102904,3676474,12,aperture_frontier_top_400;orbit_diversity_400,1/247,-1/247,True,True,True,1,0,True,pass
367714,7514854,12,aperture_frontier_top_400;orbit_diversity_400,1/247,-1/247,True,True,True,1,0,True,pass
397744,2950294,12,aperture_frontier_top_400;orbit_diversity_400,1/247,-1/247,True,True,True,1,0,True,pass
